ordering,mse,r2,r2_yhat
000000,56.27381909287237,0.5533416940641667,0.7053698767081884
000001,62.37098032218984,0.5345921772912737,0.6790749088080436
000002,69.18749492617482,0.5167303049480638,0.660686747361121
000010,68.3761459818355,0.5368067530262757,0.7201272006413411
000011,74.07589669128431,0.5230917429195903,0.7012854965459605
000012,80.76805481390075,0.507986363837621,0.6867480006045181
000020,87.15189384051057,0.4979948464755259,0.70639149772451
000021,91.2109629374504,0.4960578228121133,0.7105247978274101
000022,96.16882452573924,0.492536709216358,0.7030897994619008
000100,59.351607757523134,0.5457740781072338,0.6589481836896278
000101,64.21296809648707,0.5355814853538203,0.6495100526441078
000102,69.97841523572411,0.5239301970224222,0.6381710718258381
000110,65.44578194186745,0.5641889039431703,0.6945946688858048
000111,71.04541016775265,0.5487779525698934,0.6859355663242293
000112,77.22327473190293,0.5344036345310543,0.6776223480572443
000120,78.60363740819987,0.5483399372525839,0.7088256278507097
000121,82.72643773840268,0.5429349740175637,0.7008826807670199
000122,89.07757836440669,0.5288988379041326,0.6907525067580913
000200,69.1359194447417,0.5077342540406192,0.6088566107698298
000201,73.49877479190236,0.5021050739903388,0.6022255378187944
000202,78.80353433763119,0.4945915529017421,0.5884547019522414
000210,74.00410945305183,0.5310946513104045,0.6346149924786058
000211,78.18705271718628,0.5252153927817153,0.62881244303884
000212,82.47576901579522,0.5223269915657465,0.6318807645882422
000220,82.25462328407788,0.5419099651591756,0.6633058467963469
000221,85.33146723477385,0.5414676469358279,0.6563228204428558
000222,90.431241480282,0.5332837128495841,0.6589012893143562
001000,51.408917565315,0.5561168351188659,0.7076220182187708
001001,57.16170747909213,0.5375549540258846,0.6912457780528405
001002,63.66433695890962,0.519606928048266,0.6750123964449313
001010,64.45603753585188,0.5270241001971029,0.7190072687913971
001011,71.00680947716744,0.5060395862457917,0.7055394756167821
001012,75.35636136081641,0.5053703706952063,0.6932617245200045
001020,79.45254101699318,0.5068029124519187,0.7152404669468079
001021,84.20514247204908,0.4995249350072411,0.7140941634659749
001022,92.51765549668994,0.4759115468973631,0.6904600916650363
001100,52.37711419605143,0.5596128243954492,0.680783778858707
001101,57.47678662827399,0.544919677449321,0.6623920893760615
001102,62.731145601577616,0.5346115409896628,0.6399217162784506
001110,59.64395142221037,0.5654980551479065,0.7035805490367879
001111,63.55067160680375,0.5596449584036067,0.7007447857535147
001112,68.80861932839919,0.5487686814459585,0.6880026607658245
001120,70.52028695462846,0.559146677813539,0.7231693090170117
001121,74.78927758639682,0.5513311006868737,0.7202519927502534
001122,79.58656340453888,0.5440380063474939,0.7117115031233362
001200,61.79814205817887,0.5139905368228822,0.6231489465590463
001201,66.0177632527982,0.5076795122342651,0.6154893431668274
001202,71.50629978960475,0.4970108151575604,0.5971158680734372
001210,64.43066740508638,0.5505792559026375,0.6676436283642537
001211,67.69207742115915,0.5486768418371927,0.6608980371584091
001212,72.40834785253924,0.5409480873806537,0.6536654027598038
001220,71.88898137763877,0.5614691340878195,0.6929237413315479
001221,75.14895557304114,0.5585563881005029,0.6881669435793389
001222,77.89191999871517,0.561578344359497,0.6955157950520778
002000,51.29461228402942,0.530061629790487,0.6777017568723169
002001,56.79297099580201,0.5133804452381554,0.6580008699981985
002002,63.34616364357727,0.4948201173529074,0.6348384736032792
002010,62.76167044987852,0.5113689212243817,0.7009885978985619
002011,66.35238998296687,0.5109727497377576,0.6906040693452908
002012,71.45080452471369,0.5039778859441364,0.6780180309845314
002020,77.89262311686221,0.4878651210542736,0.7086565521318049
002021,82.26759598995338,0.4826380059669241,0.6964483650739588
002022,87.81500773947599,0.4743503258808994,0.6789634990112274
002100,50.21333794188466,0.5464456587602802,0.6712029266426977
002101,55.35944953254212,0.5302269682482053,0.6466559940715718
002102,60.444235256187305,0.5206714911436513,0.631322198896904
002110,56.50421833212051,0.5581361359288016,0.7076413094844785
002111,60.11651976139884,0.5536686429710058,0.6916501099218442
002112,64.90996154596037,0.5449079007667961,0.6851080235564145
002120,68.66101966183649,0.5404253044002008,0.7134484681351517
002121,72.01541158160357,0.5380538689820046,0.7128337363199206
002122,76.26889724318758,0.5335716764985099,0.7053153377794874
002200,59.08022182801132,0.4966401482555646,0.6171747391812586
002201,63.71610541334236,0.4864867620827598,0.6002793087196874
002202,67.32529434155694,0.4896217916531644,0.6014646687719332
002210,60.6780288455568,0.5417487193254322,0.6607708672017344
002211,63.83568001034165,0.5400897938450843,0.6585750312434139
002212,68.0246185870058,0.5350816459222074,0.6545209079184262
002220,68.07752560685972,0.5515625171591921,0.6922573965723365
002221,69.99162545202599,0.5566778193990165,0.6898544984487163
002222,72.9917147485481,0.5578291607685986,0.687847073549227
010000,51.31461999257459,0.5475040351578013,0.7160406335156122
010001,56.75204079365172,0.5321388014487597,0.7044546887115474
010002,63.818355180657775,0.510314749580272,0.6762807026426598
010010,62.75974583290228,0.5330246055077946,0.7321347860896112
010011,67.86713438579613,0.5219779888436251,0.7212890772538849
010012,75.61614175167485,0.4981682691875303,0.6976135448522693
010020,82.00365911917831,0.4866654967108725,0.722386400546962
010021,86.30068975394734,0.4832504523898061,0.7152016618759871
010022,91.32224913670072,0.4793286953044781,0.7123620069083445
010100,51.99133545658462,0.5565015105852316,0.6800014210942285
010101,56.3732946691752,0.5479373028915784,0.6684065690624792
010102,62.3879208711603,0.5319786623428147,0.6535450736873678
010110,60.62084961078012,0.5545759503762737,0.7011142965892785
010111,64.29568655539379,0.5511658239124845,0.6939500023919953
