ENSG00000162852.13
ENSG00000101421.3
ENSG00000157693.14
ENSG00000234546.3
ENSG00000185262.8
ENSG00000224531.5
ENSG00000197901.11
ENSG00000141696.12
ENSG00000239732.3
ENSG00000117411.16
ENSG00000240253.5
ENSG00000106367.13
ENSG00000118523.5
ENSG00000101204.16
ENSG00000170175.10
ENSG00000184731.5
ENSG00000157601.13
ENSG00000267342.1
ENSG00000182150.15
ENSG00000124422.11
ENSG00000100979.14
ENSG00000183873.15
ENSG00000152990.13
ENSG00000176971.3
ENSG00000188783.5
ENSG00000065882.15
ENSG00000166839.16
ENSG00000162913.9
ENSG00000268660.1
ENSG00000100359.20
ENSG00000187013.4
ENSG00000183484.11
ENSG00000140287.10
ENSG00000184371.13
ENSG00000170579.16
ENSG00000111057.10
ENSG00000244300.2
ENSG00000205572.9
ENSG00000011304.19
ENSG00000114999.7
ENSG00000130762.14
ENSG00000101916.11
ENSG00000084444.13
ENSG00000174837.14
ENSG00000179954.15
ENSG00000183454.16
ENSG00000071909.18
ENSG00000016402.13
ENSG00000275340.1
ENSG00000170035.15
ENSG00000237015.1
ENSG00000124313.13
ENSG00000108405.3
ENSG00000122756.14
ENSG00000102471.13
ENSG00000141349.8
ENSG00000233936.1
ENSG00000105618.13
ENSG00000139220.16
ENSG00000124688.13
ENSG00000101276.14
ENSG00000264548.1
ENSG00000083444.16
ENSG00000137522.17
ENSG00000166503.8
ENSG00000233208.5
ENSG00000133055.8
ENSG00000161798.6
ENSG00000123415.15
ENSG00000273301.1
ENSG00000204348.9
ENSG00000233058.1
ENSG00000143126.7
ENSG00000151967.18
ENSG00000214021.15
ENSG00000085871.8
ENSG00000263272.1
ENSG00000255198.4
ENSG00000183935.5
ENSG00000107779.13
ENSG00000105939.12
ENSG00000197147.13
ENSG00000140465.13
ENSG00000178187.7
ENSG00000176273.14
ENSG00000100167.19
ENSG00000021826.14
ENSG00000185955.4
ENSG00000106344.8
ENSG00000172380.5
ENSG00000124253.10
ENSG00000142449.12
ENSG00000163041.9
ENSG00000179915.22
ENSG00000260778.5
ENSG00000230387.2
ENSG00000249908.2
ENSG00000147416.10
ENSG00000182903.15
ENSG00000256577.2
ENSG00000214189.8
ENSG00000196329.11
ENSG00000177337.7
ENSG00000162300.11
ENSG00000142494.13
ENSG00000132688.10
ENSG00000095637.21
ENSG00000265763.3
ENSG00000131437.15
ENSG00000198420.9
ENSG00000158427.14
ENSG00000163545.8
ENSG00000006695.10
ENSG00000112175.7
