split_id,tissue,MSE,R_squared,threshold_log2fold
cmn205002,liver,63.83044715985879,0.19793856902342322,10
cmn205002,artery_aorta,27.253256916412155,0.7505554082662003,10
cmn205002,artery_coronary,61.99292420296762,0.1256986490697567,10
cmn205002,brain_cortex,64.53099344341132,0.5153654072772487,10
cmn205002,brain_cerebellum,60.66632204047945,0.5629596811313988,10
cmn205002,heart_atrial_appendage,42.05608805617944,0.5131045248276416,10
cmn205002,adipose_subcutaneous,63.30171105232531,0.4709698827338815,10
cmn205002,lung,71.45401513680612,0.35494333148837665,10
cmn205002,adrenal_gland,57.63140418838824,0.5583692743727968,10
cmn205002,pituitary,60.46938994480992,0.5347975953873809,10
cmn205002,skin_sun_exposed_lower_leg,46.90790580318559,0.6114575898423236,10
cmn205002,nerve_tibial,43.43245043776818,0.6342639345403132,10
cmn205002,colon_sigmoid,57.61055353351171,0.41098694706962247,10
cmn205002,pancreas,42.583715424590494,0.6106084602202642,10
cmn205002,liver,64.26182420456196,0.1925181011251088,20
cmn205002,artery_aorta,26.902871026708052,0.7537624328605301,20
cmn205002,artery_coronary,62.02570146863244,0.1252363832867016,20
cmn205002,brain_cortex,64.46149063384335,0.5158873807354383,20
cmn205002,brain_cerebellum,60.07916052536115,0.5671895939918397,20
cmn205002,heart_atrial_appendage,41.937908027374796,0.5144727291457383,20
cmn205002,adipose_subcutaneous,62.84425485490032,0.4747929722166889,20
cmn205002,lung,71.08248647447867,0.3582973353287302,20
cmn205002,adrenal_gland,57.61305904017467,0.5585098536495192,20
cmn205002,pituitary,60.57481849482036,0.5339865136975468,20
cmn205002,skin_sun_exposed_lower_leg,46.45625227651219,0.6151986766976225,20
cmn205002,nerve_tibial,42.295439058578495,0.6438384822348662,20
cmn205002,colon_sigmoid,57.31711616693443,0.4139870647308943,20
cmn205002,pancreas,42.64923434980824,0.6100093458658478,20
cmn205002,liver,63.63426891839093,0.20040364655427811,30
cmn205002,artery_aorta,26.849507772728472,0.7542508579740258,30
cmn205002,artery_coronary,62.199223180727415,0.12278916420079988,30
cmn205002,brain_cortex,63.37207165762473,0.524069032584749,30
cmn205002,brain_cerebellum,60.48095848943669,0.5642950405652588,30
cmn205002,heart_atrial_appendage,42.133688352087326,0.5122061237947372,30
cmn205002,adipose_subcutaneous,62.23811382938807,0.4798586624243594,30
cmn205002,lung,70.22299193276476,0.36605648902527754,30
cmn205002,adrenal_gland,57.663610321477904,0.5581224780622377,30
cmn205002,pituitary,60.51410185916184,0.534453618209997,30
cmn205002,skin_sun_exposed_lower_leg,44.60193455004959,0.6305581574994483,30
cmn205002,nerve_tibial,41.42966890293795,0.6511289612919964,30
cmn205002,colon_sigmoid,56.1559067456464,0.4258593253563112,30
cmn205002,pancreas,43.109130045571,0.6058039943288676,30
cmn205002,liver,63.13134545902009,0.20672313086690464,40
cmn205002,artery_aorta,26.991658828152346,0.7529497726727903,40
cmn205002,artery_coronary,62.09528512171617,0.12425502803243782,40
cmn205002,brain_cortex,64.33118268833101,0.5168660072020723,40
cmn205002,brain_cerebellum,59.6182486277741,0.5705100043268747,40
cmn205002,heart_atrial_appendage,41.828130392369694,0.5157436565246163,40
cmn205002,adipose_subcutaneous,62.784646216109486,0.4752911382953834,40
cmn205002,lung,69.32667420652938,0.374148066878619,40
cmn205002,adrenal_gland,58.383210438309774,0.5526081664428462,40
cmn205002,pituitary,60.15117051377284,0.537245717398336,40
cmn205002,skin_sun_exposed_lower_leg,43.36138958375595,0.6408337032280315,40
cmn205002,nerve_tibial,40.238846987399654,0.6611566368585912,40
cmn205002,colon_sigmoid,55.653270395760025,0.4309983034219904,40
cmn205002,pancreas,44.13525558456278,0.5964209567133993,40
cmn205002,liver,63.83332292658373,0.19790243357902026,50
cmn205002,artery_aorta,27.226164412288124,0.7508033815139847,50
cmn205002,artery_coronary,62.237338729728286,0.12225161130405637,50
cmn205002,brain_cortex,62.608089255153956,0.5298066213109083,50
cmn205002,brain_cerebellum,59.98058343872236,0.5678997435431674,50
cmn205002,heart_atrial_appendage,40.36667789127885,0.5326633141259112,50
cmn205002,adipose_subcutaneous,62.10930828027653,0.4809351264506584,50
cmn205002,lung,68.12758896786507,0.384972901953784,50
cmn205002,adrenal_gland,57.5479095079444,0.5590090959567008,50
