ENSG00000237548.1
ENSG00000162438.11
ENSG00000110680.12
ENSG00000223949.6
ENSG00000017427.15
ENSG00000154493.17
ENSG00000254789.2
ENSG00000261319.1
ENSG00000198732.10
ENSG00000248254.1
ENSG00000211669.2
ENSG00000213197.3
ENSG00000249780.1
ENSG00000118972.1
ENSG00000272239.1
ENSG00000160808.9
ENSG00000168298.6
ENSG00000272601.1
ENSG00000141682.11
ENSG00000175946.8
ENSG00000269924.1
ENSG00000261578.1
ENSG00000135925.8
ENSG00000254765.1
ENSG00000242902.1
ENSG00000259151.2
ENSG00000131080.14
ENSG00000276337.1
ENSG00000163534.14
ENSG00000239926.1
ENSG00000152578.12
ENSG00000275611.1
ENSG00000277566.1
ENSG00000236577.1
ENSG00000100292.16
ENSG00000115607.9
ENSG00000228763.1
ENSG00000211592.8
ENSG00000233073.1
ENSG00000164007.10
ENSG00000095596.11
ENSG00000163092.19
ENSG00000182885.16
ENSG00000278828.1
ENSG00000227959.1
ENSG00000163564.14
ENSG00000233196.2
ENSG00000080007.7
ENSG00000234841.4
ENSG00000197301.7
ENSG00000060718.20
ENSG00000268894.6
ENSG00000228828.1
ENSG00000145681.10
ENSG00000215559.8
ENSG00000242371.1
ENSG00000239732.3
ENSG00000241738.1
ENSG00000136573.12
ENSG00000255079.1
ENSG00000253755.1
ENSG00000210191.1
ENSG00000259165.1
ENSG00000223609.7
ENSG00000211595.2
ENSG00000204969.6
ENSG00000157017.15
ENSG00000198788.8
ENSG00000234193.1
ENSG00000249072.1
ENSG00000171951.4
ENSG00000171509.15
ENSG00000170381.12
ENSG00000284095.1
ENSG00000119681.11
ENSG00000216977.1
ENSG00000177455.12
ENSG00000173662.20
ENSG00000233355.6
ENSG00000122641.10
ENSG00000267504.1
ENSG00000013293.5
ENSG00000259744.1
ENSG00000257671.1
ENSG00000007933.12
ENSG00000259054.1
ENSG00000211677.2
ENSG00000269653.1
ENSG00000004846.16
ENSG00000262500.1
ENSG00000275208.1
ENSG00000221957.8
ENSG00000269899.1
ENSG00000108576.9
ENSG00000244306.10
ENSG00000267122.1
ENSG00000270000.1
ENSG00000239951.1
ENSG00000162747.9
ENSG00000231047.1
ENSG00000164265.8
ENSG00000249850.1
ENSG00000078399.17
ENSG00000230825.1
ENSG00000106819.11
ENSG00000213700.3
ENSG00000184612.8
ENSG00000277299.1
ENSG00000132437.17
ENSG00000164093.15
ENSG00000189120.4
ENSG00000249859.9
ENSG00000127129.9
ENSG00000279214.1
ENSG00000160282.13
ENSG00000188766.12
ENSG00000090104.11
ENSG00000124813.20
ENSG00000231811.2
